#
#
#
#
#
#
#
#   zn	val	  up RMS	err	    up P-V	err	    down RMS	down P-V	x
#   --	---	  ------	---	    ------	---	    --------	--------	-
    2	  1	    0.116	  0.002	  2.65	  0.02	  0.728	    2.4	      186
    2	  -1	  0.118	  0.002	  2.48	  0.02	  0.728	    2.4	      185
    3	  1	    0.117	  0.003	  2.58	  0.02	  0.727	    2.4	      186
    3	  -1	  0.117	  0.002	  2.65	  0.02	  0.727	    2.4	      186
    4	  1	    0.451	  0.001	  0.62	  0.01	  0.999	    2.663	    187
    4	  -1	  0.667	  0.001	  0.60	  0.01	  1.001	    2.663	    187
    5	  1	    0.637	  0.001	  0.53	  0.02	  0.649	    3.677	    187
    5	  -1	  0.635	  0.002	  0.56	  0.01	  0.649	    3.677	    187
    6	  1	    0.400	  0.005	  0.59	  0.01	  0.411	    1.883	    187
    6	  -1	  0.450	  0.003	  0.595	  0.015	  0.411	    1.883	    187
    7	  1	    0.645	  0.005	  1.89	  0.015	  1.036	    3.543	    236
    7	  -1	  0.650	  0.005	  1.80	  0.015	  1.036	    3.543	    236
    8	  1	    0.650	  0.003	  1.720	  0.015	  1.036	    3.542	    237
    8	  -1	  0.650	  0.005	  1.795	  0.015	  1.035	    3.542	    238
    9	  1	    0.407	  0.003	  0.505	  0.01	  0.417	    2.759	    240
    9	  -1	  0.394	  0.003	  0.510	  0.01	  0.417	    2.759	    235
    10	1	    0.392	  0.002	  0.505	  0.01	  0.414	    2.626	    236
    10	-1	  0.398	  0.002	  0.505	  0.005	  0.414	    2.626	    239
    11	1	    1.087	  0.003	  0.495	  0.015	  0.990	    3.342	    239
    11	-1	  0.892	  0.002	  0.540	  0.02	  0.990	    3.342	    240
    12	1	    0.925	  0.005	  0.515	  0.015	  0.893	    3.546	    240
    12	-1	  0.880	  0.01	  0.520	  0.02	  0.893	    3.546	    240
